FID,Lat_4326_rad,Lon_4326_rad,D_geo_acum_km,X,Y
66,6.703025655000000,-74.237585179999996,37.550058180000001,982301.257796977,1232986.49217973
67,6.705312322000000,-74.234441020000006,37.980898449999998,982648.969632268,1233239.26201081
68,6.708242114000000,-74.232440179999998,38.374973740000001,982870.29181385,1233563.19687649
69,6.710457322000000,-74.231439769999994,38.645231840000001,982980.976864929,1233808.14151482
70,6.712243781000000,-74.231868520000006,38.849666229999997,982933.635472422,1234005.72062439
71,6.715387947000000,-74.232511639999998,39.206814459999997,982862.640863152,1234353.4559077
72,6.717746072000000,-74.233940810000007,39.513196059999999,982704.713361101,1234614.29086202
73,6.719461072000000,-74.231511229999995,39.842726730000003,982973.389030134,1234803.86735768
74,6.721604822000000,-74.229438930000001,40.173532320000000,983202.576679797,1235040.87280779
75,6.723534197000000,-74.226509140000005,40.562163589999997,983526.558599227,1235254.142553
